ai_task_descriptive,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,Total
Prediction & Forecasting,1,4,183,2,0,59,151,5,50,12,1331,3,82,1,10,2,1896
Classification,2,5,84,2,2,19,25,4,85,14,982,6,12,0,21,4,1267
Object/Anomaly/Change Detection,2,0,26,1,0,8,10,0,67,3,382,2,0,0,1,6,508
Optimization & Resource Allocation,0,0,9,0,0,4,107,2,51,0,321,5,7,0,1,0,507
Analysis & Assessment,0,0,20,1,2,5,5,1,14,11,166,3,21,0,4,1,254
Segmentation,1,1,8,0,0,4,5,0,1,3,150,0,0,0,1,0,174
Simulation/Modeling,1,0,1,1,0,4,5,0,2,0,119,0,4,0,4,0,141
Clustering,1,0,3,1,0,0,5,0,6,1,54,0,1,0,0,0,72
NLP/Text Analysis,0,0,2,2,0,1,0,2,2,0,40,0,2,0,0,0,51
Decision Support,0,3,1,0,0,1,1,1,3,0,33,0,0,0,0,1,44
Generation,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,34
Image/Video Processing,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,28
Data Processing,0,0,0,0,0,0,0,0,9,1,14,0,0,0,0,0,24
Regression,0,0,8,0,0,0,1,0,2,0,11,0,1,0,0,0,23
Causal Inference,0,1,2,0,0,0,0,0,1,0,17,0,0,0,0,0,21
Mapping/Spatial Analysis,0,0,0,0,0,1,2,0,0,1,12,0,1,0,0,0,17
Monitoring,0,0,5,0,0,2,1,0,4,0,3,1,0,1,0,0,17
Control/Navigation,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,5
