Megatrend,Research Trend,Subject Cluster,Articles
Climate Change & Environmental Sustainability,Quality of Life & Livability,Urban Environment & Sustainability,442
Climate Change & Environmental Sustainability,Air Quality & Emissions,Air Quality,81
Climate Change & Environmental Sustainability,Urban Planning for Sustainability,Urban Planning & Land Use,70
Climate Change & Environmental Sustainability,Urban Environment & Ecology,Environment & Sustainability,65
Climate Change & Environmental Sustainability,Smart Urban Infrastructure,Urban Infrastructure & Technology,56
Climate Change & Environmental Sustainability,Urban Climate & Heat,Urban Climate and Environment,48
Climate Change & Environmental Sustainability,Urban Climate & Heat,Climate and Microclimate,44
Climate Change & Environmental Sustainability,Smart Urban Infrastructure,Infrastructure and Utilities,44
Climate Change & Environmental Sustainability,Smart Mobility Systems,Mobility & Transportation,42
Climate Change & Environmental Sustainability,Urban Governance & Policy,Urban Governance & Society,34
Climate Change & Environmental Sustainability,Urban Environment & Ecology,Environmental Quality,33
Climate Change & Environmental Sustainability,Urban Climate & Heat,Heat Island,31
Digital Transformation & Smart Cities,Smart Urban Infrastructure,Urban Infrastructure & Technology,272
Digital Transformation & Smart Cities,Smart Urban Infrastructure,Smart Infrastructure,192
Digital Transformation & Smart Cities,Smart Mobility Systems,Mobility & Transportation,110
Digital Transformation & Smart Cities,Urban Intelligence & Data Analytics,Urban Intelligence & Analytics,95
Digital Transformation & Smart Cities,Smart Mobility Systems,Urban Mobility,77
Digital Transformation & Smart Cities,Urban Planning for Sustainability,Urban Planning & Land Use,73
Digital Transformation & Smart Cities,Smart Mobility Systems,Transportation and Mobility,70
Digital Transformation & Smart Cities,Smart Urban Infrastructure,Smart City Infrastructure,63
Digital Transformation & Smart Cities,Urban Planning & Governance,Urban Planning,62
Digital Transformation & Smart Cities,Urban Planning & Governance,Safety and Governance,52
Digital Transformation & Smart Cities,Smart Mobility Systems,Traffic Management,52
Digital Transformation & Smart Cities,Urban Safety & Security,Security & Safety,45
Digital Transformation & Smart Cities,Urban Governance & Policy,Urban Governance & Society,45
Digital Transformation & Smart Cities,Quality of Life & Livability,Urban Living & Quality of Life,37
Digital Transformation & Smart Cities,Smart Services & Energy,Smart Grid,36
Digital Transformation & Smart Cities,Smart Urban Infrastructure,Urban Infrastructure,36
Digital Transformation & Smart Cities,Urban Intelligence & Data Analytics,Urban Analytics,34
Digital Transformation & Smart Cities,Quality of Life & Livability,Urban Environment & Sustainability,31
Digital Transformation & Smart Cities,Smart Urban Infrastructure,Infrastructure and Utilities,30
Digital Transformation & Smart Cities,Smart Services & Energy,Urban Services,30
Social Equity & Quality of Life,Urban Governance & Policy,Environmental Management & Planning,44
Social Equity & Quality of Life,Urban Governance & Policy,Urban Governance & Society,43
Social Equity & Quality of Life,Health & Well-being,Health & Quality of Life,34
Social Equity & Quality of Life,Urban Planning for Sustainability,Urban Planning & Land Use,32
Urban Development & Land Use,Urban Planning for Sustainability,Urban Planning & Land Use,133
Urban Development & Land Use,Urban Planning & Governance,Urban Planning,56
Urban Development & Land Use,Environmental Planning,Climate & Environmental Analysis,39
Urban Development & Land Use,Urban Growth Dynamics,Urban Growth & Sprawl,38
Urban Mobility & Transportation,Public & Shared Transportation,Transportation & Mobility,129
Urban Mobility & Transportation,Smart Mobility Systems,Urban Mobility,70
Urban Mobility & Transportation,Intelligent Transportation Systems,Intelligent Transportation Systems,63
Urban Mobility & Transportation,Smart Mobility Systems,Mobility & Transportation,53
Urban Resilience & Safety,Urban Safety & Security,Urban Safety & Resilience,54
Urban Resilience & Safety,Urban Safety & Security,Security & Safety,42
Urban Resilience & Safety,Disaster Management & Response,Disaster Management,35
